index,db
0,1
1,1
11,1
13,1
15,1
16,1
18,1
19,1
24,1
32,1
34,1
37,1
41,1
43,1
54,1
56,1
59,1
60,1
61,1
63,1
69,1
70,1
81,1
85,1
86,1
87,1
88,1
89,1
91,1
94,1
107,1
111,1
113,1
117,1
120,1
123,1
125,1
127,1
128,1
129,1
130,1
137,1
138,1
144,1
149,1
154,1
155,1
156,1
161,1
163,1
167,1
168,1
169,1
171,1
172,1
174,1
176,1
178,1
179,1
181,1
185,1
189,1
198,1
200,1
201,1
203,1
204,1
207,1
211,1
212,1
214,1
216,1
217,1
218,1
219,1
220,1
222,1
223,1
225,1
227,1
229,1
231,1
233,1
242,1
244,1
248,1
249,1
251,1
257,1
258,1
259,1
260,1
278,1
279,1
280,1
281,1
282,1
290,1
298,1
303,1
308,1
310,1
311,1
313,1
319,1
320,1
321,1
322,1
323,1
324,1
326,1
327,1
329,1
331,1
332,1
333,1
335,1
337,1
340,1
344,1
346,1
347,1
350,1
351,1
352,1
353,1
355,1
356,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
371,1
375,1
376,1
377,1
378,1
381,1
382,1
383,1
384,1
386,1
387,1
388,1
389,1
390,1
394,1
395,1
397,1
402,1
404,1
406,1
408,1
409,1
410,1
413,1
414,1
416,1
417,1
425,1
427,1
428,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
443,1
444,1
445,1
451,1
452,1
453,1
454,1
455,1
457,1
458,1
460,1
461,1
463,1
465,1
466,1
467,1
469,1
471,1
474,1
475,1
476,1
477,1
480,1
481,1
482,1
484,1
485,1
486,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
496,1
498,1
499,1
500,1
501,1
502,1
504,1
505,1
508,1
512,1
516,1
519,1
520,1
522,1
527,1
529,1
530,1
534,1
542,1
543,1
544,1
545,1
549,1
550,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
568,1
569,1
570,1
571,1
572,1
574,1
575,1
576,1
577,1
578,1
580,1
581,1
583,1
585,1
586,1
587,1
588,1
591,1
592,1
593,1
594,1
596,1
600,1
602,1
604,1
606,1
607,1
608,1
615,1
617,1
622,1
623,1
624,1
627,1
632,1
656,1
657,1
658,1
659,1
660,1
662,1
663,1
664,1
666,1
667,1
668,1
669,1
672,1
673,1
675,1
676,1
679,1
680,1
681,1
684,1
685,1
688,1
689,1
691,1
692,1
693,1
694,1
697,1
698,1
699,1
704,1
705,1
707,1
708,1
711,1
717,1
719,1
723,1
726,1
727,1
731,1
732,1
734,1
735,1
737,1
738,1
744,1
745,1
746,1
748,1
749,1
754,1
756,1
761,1
768,1
770,1
771,1
772,1
774,1
777,1
778,1
780,1
781,1
782,1
783,1
784,1
785,1
790,1
792,1
793,1
794,1
795,1
798,1
799,1
810,1
811,1
812,1
813,1
817,1
818,1
820,1
821,1
834,1
836,1
839,1
841,1
842,1
843,1
853,1
854,1
861,1
863,1
864,1
868,1
881,1
882,1
886,1
887,1
889,1
890,1
898,1
899,1
902,1
904,1
906,1
907,1
0,2
3,2
4,2
11,2
12,2
14,2
15,2
17,2
19,2
26,2
28,2
37,2
46,2
52,2
53,2
78,2
79,2
87,2
88,2
91,2
98,2
104,2
105,2
112,2
113,2
116,2
117,2
118,2
119,2
120,2
122,2
123,2
124,2
127,2
131,2
135,2
136,2
141,2
145,2
150,2
160,2
164,2
166,2
168,2
169,2
179,2
181,2
187,2
188,2
196,2
202,2
208,2
209,2
221,2
223,2
224,2
236,2
240,2
246,2
249,2
254,2
258,2
259,2
260,2
276,2
281,2
293,2
294,2
300,2
305,2
307,2
309,2
318,2
321,2
322,2
350,2
355,2
363,2
365,2
7,3
10,3
15,3
16,3
20,3
24,3
31,3
38,3
42,3
51,3
52,3
53,3
57,3
71,3
72,3
77,3
82,3
84,3
90,3
91,3
96,3
100,3
107,3
108,3
111,3
112,3
114,3
117,3
122,3
134,3
142,3
145,3
152,3
153,3
154,3
155,3
156,3
157,3
159,3
160,3
162,3
164,3
167,3
168,3
174,3
177,3
178,3
179,3
181,3
182,3
187,3
189,3
191,3
192,3
193,3
194,3
196,3
199,3
200,3
201,3
206,3
209,3
211,3
212,3
214,3
215,3
218,3
221,3
222,3
228,3
231,3
232,3
233,3
238,3
239,3
240,3
246,3
249,3
250,3
253,3
255,3
257,3
260,3
261,3
263,3
264,3
265,3
268,3
270,3
271,3
273,3
274,3
275,3
276,3
277,3
279,3
280,3
282,3
283,3
288,3
289,3
291,3
293,3
302,3
312,3
314,3
315,3
316,3
320,3
324,3
327,3
328,3
331,3
336,3
337,3
348,3
349,3
354,3
355,3
368,3
380,3
389,3
398,3
405,3
408,3
412,3
415,3
417,3
418,3
419,3
423,3
432,3
435,3
441,3
446,3
447,3
448,3
450,3
451,3
452,3
455,3
460,3
465,3
466,3
467,3
470,3
476,3
477,3
481,3
486,3
496,3
501,3
502,3
504,3
505,3
507,3
508,3
510,3
512,3
513,3
514,3
515,3
520,3
521,3
528,3
530,3
533,3
534,3
541,3
543,3
550,3
568,3
570,3
572,3
575,3
582,3
583,3
585,3
586,3
587,3
590,3
592,3
602,3
603,3
608,3
618,3
619,3
622,3
624,3
625,3
626,3
628,3
629,3
637,3
646,3
669,3
670,3
679,3
682,3
683,3
686,3
687,3
690,3
693,3
694,3
703,3
706,3
707,3
709,3
712,3
714,3
716,3
722,3
723,3
725,3
727,3
731,3
734,3
736,3
739,3
741,3
753,3
754,3
758,3
761,3
762,3
763,3
767,3
768,3
770,3
771,3
775,3
781,3
785,3
786,3
790,3
791,3
792,3
798,3
800,3
801,3
803,3
807,3
808,3
811,3
818,3
821,3
822,3
823,3
824,3
825,3
835,3
837,3
838,3
840,3
841,3
842,3
843,3
846,3
848,3
852,3
853,3
855,3
858,3
859,3
860,3
864,3
867,3
868,3
871,3
872,3
876,3
877,3
878,3
880,3
881,3
882,3
884,3
885,3
893,3
894,3
895,3
898,3
903,3
906,3
907,3
909,3
912,3
913,3
914,3
915,3
916,3
919,3
930,3
932,3
937,3
941,3
943,3
953,3
961,3
967,3
970,3
971,3
980,3
983,3
988,3
989,3
997,3
998,3
999,3
1000,3
1003,3
1006,3
1008,3
1011,3
1012,3
1018,3
1019,3
1027,3
1028,3
1030,3
1031,3
1041,3
1045,3
1050,3
1054,3
1055,3
1056,3
1057,3
1061,3
1064,3
1065,3
1069,3
1072,3
1073,3
1075,3
1077,3
1081,3
1082,3
1083,3
